X20241116.OAPS.3_BC15	X20241116.OAPS.4_BC35	X20241123.OAPS.5_BC14	X20241123.OAPS.5_BC16	X20241123.OAPS.5_BC30	X20241123.OAPS.5_BC33	X20241215.OAPS.3_BC11	X20241215.OAPS.3_BC24	X20241215.OAPS.4_BC16	X20241215.OAPS.4_BC25	X20241215.OAPS.5_BC18	X20241215.OAPS.5_BC20	X20241215.OAPS.6_BC21	X20241215.OAPS.6_BC23	L1.1.BC1	L1.1.BC10	L1.1.BC9	L2.2.BC2	L2.2.BC6	L3.3.BC3	L3.3.BC4	L3.3.BC5	L4.4.BC1	L4.4.BC7	L4.4.BC8
ENSG00000104904.12|3436|OAZ1|protein_coding	760.935159983311	630.321867594934	662.053496107395	662.053496107395	710.26845952577	738.625250821385	644.219803149587	715.773438276797	675.714238347562	706.872887105822	698.499704996959	725.173007386212	696.993212651982	798.387161052526	654.546414970679	714.10507258012	672.390006713445	728.267909013663	668.310747817323	677.341107096541	736.357274138248	716.262419347572	657.894755630904	687.319582164972	710.931680865928
ENSG00000105193.9|2674|RPS16|protein_coding	210.720505841532	813.115209197465	490.49994587754	518.787904255826	518.887767940085	518.887767940085	521.655698825684	470.097396683562	582.154928988898	572.92871908379	533.701422025014	472.028427894992	503.809790745484	501.046554648973	486.24532290768	538.933151246565	502.222412517433	554.555932400185	488.253067752949	489.994703732937	503.249369194747	523.874616885512	495.721205558718	516.269497052085	509.242946453544
ENSG00000105372.8|3461|RPS19|protein_coding	597.041433217675	1537.98535693164	925.735822103661	925.735822103661	1196.06010020229	1210.31441296032	754.62170334651	852.474277805	1233.49514208325	1216.85658548649	1228.72843619879	1323.28979890698	1222.13875725094	1288.74695672758	938.016806137261	1181.37944772433	921.137998544729	1179.13557676129	933.910677073985	932.933094547321	1193.44010166366	1199.68942817222	967.976756226183	927.038510454174	1210.46173395563
ENSG00000105373.19|5317|NOP53|protein_coding	222.427200610506	308.857715121518	0	0	0	0	214.043040426432	321.099949840673	376.438812495152	408.703484642672	170.098492838783	143.662842579849	231.637901144728	97.6767134006805	365.750614608338	490.461198277507	491.697667515589	100.207841671387	1163.21466697425	482.928467913022	907.79809580393	386.176445951864	544.964612055197	149.000062916032	377.955608012591
ENSG00000105640.13|3493|RPL18A|protein_coding	433.147706452038	1437.13385811645	822.190992016478	836.340120219833	1037.0669824009	1037.0669824009	807.72602723795	808.827445054071	990.270675029476	1205.85163163429	1012.23850449238	938.12561885894	1045.06185136784	1128.46593337278	822.555038780721	1077.92762663189	796.014639263467	1039.18539141357	798.60038690167	796.905959401643	993.216032019645	1023.10898122901	850.493732379135	866.877528384851	1099.37605260638
ENSG00000105701.16|2819|FKBP8|protein_coding	433.147706452038	264.735184389872	301.195378349116	301.195378349116	393.322123350806	398.265041304216	281.875677567548	303.36973662366	361.636290971639	385.630113802803	409.860445918159	382.491486388459	392.842573192922	447.880964743313	291.266207223468	388.372982823637	322.655424342617	392.668354986351	335.780942384363	307.722283667867	393.937141407389	385.333219593973	282.345778620764	294.96130289511	397.155076622394
ENSG00000108107.15|6346|RPL28|protein_coding	878.002107673051	2010.72675762784	1002.72000785276	1016.74309467966	1863.36497105336	1873.16260196947	1074.26509872359	999.534630204846	1849.72752209807	1975.97046892015	1911.40840170574	1763.58402257011	1851.52901231088	1917.53838955033	1016.447910445	2086.56376437552	964.756739376091	1806.12785880981	921.33367915669	980.622363666677	1825.71892346651	1878.82466523155	1061.51543442394	997.601072906086	1916.46786259526
ENSG00000108298.12|3591|RPL19|protein_coding	374.614232607168	869.844177281009	0	0	0	0	778.338328823389	737.526447290295	1077.98387214521	1123.93458276735	938.691682702914	1020.76230254103	1110.86563344676	1025.60549070715	4751.56366139653	5478.15677201762	4110.37151271459	5741.90932777046	4004.38541537557	4024.40389927518	6452.23825862236	3454.42766036393	4972.80208500368	7038.9684894815	5345.622141104
ENSG00000108518.8|1599|PFN1|protein_coding	128.773642458714	592.502555539238	383.949996626606	412.240919874078	329.229301723717	319.921869419502	372.730883011842	397.357623205622	304.733960041898	367.748186794785	315.282006088305	337.330116822734	326.016484447634	321.638138871164	431.743440605359	362.14442522236	376.602953659529	311.777479673157	366.136741515796	363.480748980915	279.938925244425	333.253103332524	425.483272450884	419.820656076262	328.897281129838
ENSG00000108654.16|9311|DDX5|protein_coding	199.013811072558	315.160933797467	246.154980813201	246.154980813201	252.160393423517	284.689727541428	305.357603597149	254.054335500108	289.077854921579	238.546415971641	249.419148071446	239.97840369055	241.140832194773	230.806270266433	250.277473902794	249.652881047135	272.681107787959	263.342739406156	261.096241512569	250.697847583703	248.117969799378	249.58821234748	269.114022794699	265.569748658177	248.799327043315
ENSG00000109475.17|3505|RPL34|protein_coding	737.521770445363	869.844177281009	711.814188458958	707.61400408687	889.729709261341	894.55885462484	663.396552317669	677.421938461137	951.11219808685	933.700143196088	867.282487363812	919.671459589892	904.789917234826	916.90475359498	703.040504708065	884.270777201071	697.681896475522	908.820470562316	695.839354109509	701.974139678202	906.290820533576	893.193158207522	713.927467976348	730.475819332419	902.386345610884
ENSG00000109685.19|20352|NSD2|protein_coding	772.641854752285	334.070589825315	521.975631634128	503.56968708371	591.484853529819	601.922430383733	544.329090744771	546.619238448667	574.493272921198	542.761088165054	578.17762146923	578.18415630704	570.031480010193	570.266491685072	510.416502936962	587.124247622779	654.515149621698	570.972774657651	521.770888826671	515.726184498202	556.219840468678	593.78950426737	502.192206936996	497.794528356551	548.722711763278
ENSG00000110321.19|8485|EIF4G2|protein_coding	222.427200610506	277.341621741771	237.59848579592	251.362754396665	258.510507018771	249.453892139304	241.436428549081	259.282212415168	237.697159265887	278.576832353614	245.877916829844	262.962568816469	248.492735892582	247.188434243994	243.51886297327	259.787914265256	231.268721271271	256.728967894489	240.65915692027	233.913666370233	254.048524063432	258.968617210559	253.784130143388	251.691326672538	258.457972905981
ENSG00000110700.7|2115|RPS13|protein_coding	187.307116303584	453.831744668353	338.611832086686	352.759472813301	294.812009100344	294.812009100344	397.483051110783	280.998394643821	226.051608184361	306.224727976157	287.234346325928	297.808745258525	327.242146919832	351.339429978626	330.685789059568	294.590490346023	338.240911978533	316.567099826096	334.098768888033	329.899208677777	288.657883557843	283.408676061705	335.2279766577	401.4077706316	293.363271648817
